Id,Creation Time,training/val_acc_epoch (max),Tags,Val acc (last),Window (s) (last),hidden_size (last),Monitoring Time,metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average),metadata/seed (average),metadata/file_path,metadata/val_set_length (average),metadata/train_set_length (last),training/val_acc_epoch (variance),metadata/train_set_length (min)
BCMAC-645,2022-11-15 22:32:09,0.9520891308784485,"[""fine-tuning"",""seed""]",0.9476323127746582,3.0,128.0,254,0.0,79.0,1.0,1.0,19.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.008686812173432656,1795.0
BCMAC-644,2022-11-15 22:27:50,0.9485608339309692,"[""fine-tuning"",""seed""]",0.9444754123687744,3.0,128.0,257,0.0,79.0,1.0,1.0,18.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.008915707860761745,1795.0
BCMAC-643,2022-11-15 22:23:37,0.9506035447120667,"[""fine-tuning"",""seed""]",0.9405756592750549,3.0,128.0,252,0.0,79.0,1.0,1.0,17.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.007008147704366863,1795.0
BCMAC-642,2022-11-15 22:19:19,0.9565459489822388,"[""fine-tuning"",""seed""]",0.9400185942649841,3.0,128.0,256,0.0,79.0,1.0,1.0,16.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.0092342339097649,1795.0
BCMAC-641,2022-11-15 22:15:04,0.9530176520347595,"[""fine-tuning"",""seed""]",0.9418755769729614,3.0,128.0,254,0.0,79.0,1.0,1.0,15.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.009275973169250929,1795.0
BCMAC-640,2022-11-15 22:10:51,0.9506035447120667,"[""fine-tuning"",""seed""]",0.9468895196914673,3.0,128.0,252,0.0,79.0,1.0,1.0,14.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.010182568324150409,1795.0
BCMAC-639,2022-11-15 22:06:37,0.9467037916183472,"[""fine-tuning"",""seed""]",0.9448468089103699,3.0,128.0,253,0.0,79.0,1.0,1.0,13.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.006255988652054611,1795.0
BCMAC-638,2022-11-15 22:02:23,0.9561745524406433,"[""fine-tuning"",""seed""]",0.9496750235557556,3.0,128.0,253,0.0,79.0,1.0,1.0,12.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.010723458467252377,1795.0
BCMAC-637,2022-11-15 21:58:07,0.954317569732666,"[""fine-tuning"",""seed""]",0.9465181231498718,3.0,128.0,253,0.0,79.0,1.0,1.0,11.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.0065442553060845125,1795.0
BCMAC-636,2022-11-15 21:53:53,0.9537604451179504,"[""fine-tuning"",""seed""]",0.9351903200149536,3.0,128.0,253,0.0,79.0,1.0,1.0,10.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.008613942253024831,1795.0
BCMAC-635,2022-11-15 21:49:39,0.9483751058578491,"[""fine-tuning"",""seed""]",0.9442896842956543,3.0,128.0,253,0.0,79.0,1.0,1.0,9.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.008731211992931165,1795.0
BCMAC-634,2022-11-15 21:45:22,0.9526462554931641,"[""fine-tuning"",""seed""]",0.9493036270141602,3.0,128.0,255,0.0,79.0,1.0,1.0,8.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.007809283262322708,1795.0
BCMAC-633,2022-11-15 21:41:09,0.9500464200973511,"[""fine-tuning"",""seed""]",0.9411327838897705,3.0,128.0,252,0.0,79.0,1.0,1.0,7.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.007752437488481334,1795.0
BCMAC-632,2022-11-15 21:36:56,0.9556174278259277,"[""fine-tuning"",""seed""]",0.9461467266082764,3.0,128.0,252,0.0,79.0,1.0,1.0,6.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.005983600557274205,1795.0
BCMAC-631,2022-11-15 21:32:43,0.9487465023994446,"[""fine-tuning"",""seed""]",0.9470751881599426,3.0,128.0,251,0.0,79.0,1.0,1.0,5.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.007359786758054643,1795.0
BCMAC-630,2022-11-15 21:28:29,0.955988883972168,"[""fine-tuning"",""seed""]",0.9526462554931641,3.0,128.0,253,0.0,79.0,1.0,1.0,4.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.012669654554165887,1795.0
BCMAC-629,2022-11-15 21:24:14,0.9535747170448303,"[""fine-tuning"",""seed""]",0.9493036270141602,3.0,128.0,253,0.0,79.0,1.0,1.0,3.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.009024876246942615,1795.0
BCMAC-628,2022-11-15 21:20:01,0.9476323127746582,"[""fine-tuning"",""seed""]",0.9402042627334595,3.0,128.0,252,0.0,79.0,1.0,1.0,2.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.007963186207216566,1795.0
BCMAC-627,2022-11-15 21:15:47,0.952460527420044,"[""fine-tuning"",""seed""]",0.9418755769729614,3.0,128.0,252,0.0,79.0,1.0,1.0,1.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.009930886032107544,1795.0
BCMAC-626,2022-11-15 21:11:35,0.9498607516288757,"[""fine-tuning"",""seed""]",0.9442896842956543,3.0,128.0,251,0.0,79.0,1.0,1.0,0.0,['bcm_behaviour_data_multi_subject/subject3/2022-11-09_15-27-14'],5385.0,14360.0,0.009138688262832062,1795.0
