Id,Creation Time,Owner,Val acc (last),Window (s) (last),lstm_hidden_size (last),metadata/weight_decay (last),LR (last),Monitoring Time,training/val_acc_epoch (max),metadata/occlusion (average),Epoch (last),metadata/lstm_layers (last),metadata/stride (average)
BCMAC-238,2022-11-05 19:53:20,aksel.s.madsen,0.9596638679504395,3.0,128.0,0.0,0.001,736,0.9747899174690247,0.0,543.0,1.0,3.0
BCMAC-237,2022-11-05 19:42:13,aksel.s.madsen,0.9310924410820007,3.0,128.0,0.0,0.001,666,0.9697479009628296,0.0,494.0,1.0,3.0
BCMAC-236,2022-11-05 19:29:55,aksel.s.madsen,0.9714285731315613,3.0,128.0,0.0,0.001,736,0.978151261806488,0.0,548.0,1.0,3.0
BCMAC-235,2022-11-05 19:13:17,aksel.s.madsen,0.9680672287940979,3.0,128.0,0.0,0.001,996,0.9798319339752197,0.0,752.0,1.0,3.0
BCMAC-234,2022-11-05 19:00:17,aksel.s.madsen,0.9680672287940979,3.0,128.0,0.0,0.001,779,0.9798319339752197,0.0,594.0,1.0,3.0
BCMAC-233,2022-11-05 18:48:29,aksel.s.madsen,0.973109245300293,3.0,128.0,0.0,0.001,706,0.9747899174690247,0.0,542.0,1.0,3.0
BCMAC-232,2022-11-05 18:27:03,aksel.s.madsen,0.9647058844566345,3.0,128.0,0.0,0.001,1284,0.9764705896377563,0.0,993.0,1.0,3.0
BCMAC-231,2022-11-05 18:14:49,aksel.s.madsen,0.973109245300293,3.0,128.0,0.0,0.001,733,0.9815126061439514,0.0,572.0,1.0,3.0
BCMAC-230,2022-11-05 18:01:35,aksel.s.madsen,0.9663865566253662,3.0,128.0,0.0,0.001,792,0.9764705896377563,0.0,624.0,1.0,3.0
BCMAC-229,2022-11-05 17:47:30,aksel.s.madsen,0.9462184906005859,3.0,128.0,0.0,0.001,844,0.973109245300293,0.0,670.0,1.0,3.0
BCMAC-228,2022-11-05 17:37:44,aksel.s.madsen,0.9710306525230408,3.0,128.0,0.0,0.001,585,0.977158784866333,0.0,282.0,1.0,1.0
BCMAC-227,2022-11-05 17:28:34,aksel.s.madsen,0.9693593382835388,3.0,128.0,0.0,0.001,548,0.975487470626831,0.0,264.0,1.0,1.0
BCMAC-226,2022-11-05 17:19:44,aksel.s.madsen,0.975487470626831,3.0,128.0,0.0,0.001,529,0.9805014133453369,0.0,256.0,1.0,1.0
BCMAC-225,2022-11-05 17:14:28,aksel.s.madsen,0.9704735279083252,3.0,128.0,0.0,0.001,314,0.9805014133453369,0.0,152.0,1.0,1.0
BCMAC-224,2022-11-05 17:06:30,aksel.s.madsen,0.9699164628982544,3.0,128.0,0.0,0.001,477,0.9799442887306213,0.0,231.0,1.0,1.0
BCMAC-223,2022-11-05 16:58:25,aksel.s.madsen,0.9693593382835388,3.0,128.0,0.0,0.001,484,0.9799442887306213,0.0,236.0,1.0,1.0
BCMAC-222,2022-11-05 16:50:39,aksel.s.madsen,0.9738161563873291,3.0,128.0,0.0,0.001,465,0.9805014133453369,0.0,227.0,1.0,1.0
BCMAC-221,2022-11-05 16:44:20,aksel.s.madsen,0.9732590317726135,3.0,128.0,0.0,0.001,377,0.9782729744911194,0.0,184.0,1.0,1.0
BCMAC-220,2022-11-05 16:36:18,aksel.s.madsen,0.9699164628982544,3.0,128.0,0.0,0.001,480,0.977158784866333,0.0,235.0,1.0,1.0
BCMAC-219,2022-11-05 16:30:39,aksel.s.madsen,0.975487470626831,3.0,128.0,0.0,0.001,338,0.977158784866333,0.0,165.0,1.0,1.0
BCMAC-218,2022-11-05 16:25:42,aksel.s.madsen,0.9803499579429626,3.0,128.0,0.0,0.001,295,0.9811574816703796,0.0,88.0,1.0,0.5
BCMAC-217,2022-11-05 16:18:43,aksel.s.madsen,0.9722745418548584,3.0,128.0,0.0,0.001,417,0.9784656763076782,0.0,126.0,1.0,0.5
BCMAC-216,2022-11-05 16:10:25,aksel.s.madsen,0.9647375345230103,3.0,128.0,0.0,0.001,497,0.9749663472175598,0.0,150.0,1.0,0.5
BCMAC-215,2022-11-05 15:58:47,aksel.s.madsen,0.9722745418548584,3.0,128.0,0.0,0.001,696,0.9792732000350952,0.0,211.0,1.0,0.5
BCMAC-214,2022-11-05 15:54:28,aksel.s.madsen,0.9676985144615173,3.0,128.0,0.0,0.001,257,0.9752355217933655,0.0,77.0,1.0,0.5
BCMAC-213,2022-11-05 15:42:13,aksel.s.madsen,0.9795423746109009,3.0,128.0,0.0,0.001,735,0.9795423746109009,0.0,223.0,1.0,0.5
BCMAC-212,2022-11-05 15:33:29,aksel.s.madsen,0.9787348508834839,3.0,128.0,0.0,0.001,523,0.980888307094574,0.0,159.0,1.0,0.5
BCMAC-211,2022-11-05 15:23:49,aksel.s.madsen,0.9709286689758301,3.0,128.0,0.0,0.001,578,0.9795423746109009,0.0,176.0,1.0,0.5
BCMAC-210,2022-11-05 15:17:36,aksel.s.madsen,0.9706594944000244,3.0,128.0,0.0,0.001,372,0.9738896489143372,0.0,113.0,1.0,0.5
BCMAC-209,2022-11-05 15:11:44,aksel.s.madsen,0.9650067090988159,3.0,128.0,0.0,0.001,351,0.9781965017318726,0.0,106.0,1.0,0.5
BCMAC-208,2022-11-05 15:06:41,aksel.s.madsen,0.9748319387435913,3.0,128.0,0.0,0.001,302,0.9781123995780945,0.0,22.0,1.0,0.1
BCMAC-207,2022-11-05 14:57:21,aksel.s.madsen,0.9736488461494446,3.0,128.0,0.0,0.001,559,0.9816617369651794,0.0,42.0,1.0,0.1
BCMAC-206,2022-11-05 14:52:18,aksel.s.madsen,0.9684323668479919,3.0,128.0,0.0,0.001,301,0.9759612679481506,0.0,22.0,1.0,0.1
BCMAC-205,2022-11-05 14:47:03,aksel.s.madsen,0.9723044037818909,3.0,128.0,0.0,0.001,314,0.9734874963760376,0.0,23.0,1.0,0.1
BCMAC-204,2022-11-05 14:43:44,aksel.s.madsen,0.9676256775856018,3.0,128.0,0.0,0.001,197,0.9722505807876587,0.0,14.0,1.0,0.1
BCMAC-203,2022-11-05 14:39:35,aksel.s.madsen,0.9694541692733765,3.0,128.0,0.0,0.001,248,0.9744554758071899,0.0,18.0,1.0,0.1
BCMAC-202,2022-11-05 14:35:26,aksel.s.madsen,0.9621403813362122,3.0,128.0,0.0,0.001,247,0.9747244119644165,0.0,18.0,1.0,0.1
BCMAC-201,2022-11-05 14:30:51,aksel.s.madsen,0.9747244119644165,3.0,128.0,0.0,0.001,274,0.9775208234786987,0.0,20.0,1.0,0.1
BCMAC-200,2022-11-05 14:24:04,aksel.s.madsen,0.9736488461494446,3.0,128.0,0.0,0.001,406,0.9773057103157043,0.0,30.0,1.0,0.1
BCMAC-199,2022-11-05 14:18:49,aksel.s.madsen,0.9654746055603027,3.0,128.0,0.0,0.001,313,0.9761226177215576,0.0,23.0,1.0,0.1
BCMAC-128,2022-11-04 18:45:58,aksel.s.madsen,0.9679304361343384,3.0,128.0,0.0,0.001,524,0.9767500162124634,0.0,13.0,1.0,0.032
BCMAC-127,2022-11-04 18:35:52,aksel.s.madsen,0.9707448482513428,3.0,128.0,0.0,0.001,605,0.9818230867385864,0.0,15.0,1.0,0.032
BCMAC-126,2022-11-04 18:24:34,aksel.s.madsen,0.9731648564338684,3.0,128.0,0.0,0.001,677,0.9791520833969116,0.0,17.0,1.0,0.032
BCMAC-125,2022-11-04 18:15:48,aksel.s.madsen,0.9749574065208435,3.0,128.0,0.0,0.001,525,0.9777538776397705,0.0,13.0,1.0,0.032
BCMAC-124,2022-11-04 18:05:01,aksel.s.madsen,0.968271017074585,3.0,128.0,0.0,0.001,645,0.9750829339027405,0.0,16.0,1.0,0.032
BCMAC-123,2022-11-04 17:53:42,aksel.s.madsen,0.967912495136261,3.0,128.0,0.0,0.001,677,0.9778255820274353,0.0,17.0,1.0,0.032
BCMAC-122,2022-11-04 17:43:33,aksel.s.madsen,0.972949743270874,3.0,128.0,0.0,0.001,608,0.9746168255805969,0.0,15.0,1.0,0.032
BCMAC-121,2022-11-04 17:31:37,aksel.s.madsen,0.9731110334396362,3.0,128.0,0.0,0.001,715,0.9777538776397705,0.0,18.0,1.0,0.032
BCMAC-120,2022-11-04 17:19:03,aksel.s.madsen,0.9733261466026306,3.0,128.0,0.0,0.001,753,0.9778255820274353,0.0,19.0,1.0,0.032
BCMAC-119,2022-11-04 17:06:26,aksel.s.madsen,0.9633951783180237,3.0,128.0,0.0,0.001,756,0.9711571335792542,0.0,19.0,1.0,0.032
